Time	CountRate	Error
43650.09283	6.02087	2.75546
43650.09289	9.97583	4.1024
43650.09289	10.58953	3.57507
43650.09295	10.67325	5.16498
43650.16738	21.13467	8.74715
43650.16744	5.21648	4.45669
43650.1675	9.3885	3.18545
43650.1675	10.30648	3.6084
43650.16756	7.99355	3.86823
43650.16756	9.2283	4.28403
43650.16762	10.50783	5.76484
43650.24182	7.39883	5.14047
43650.24188	9.41994	3.56854
43650.24188	2.40467	3.57303
43650.24194	6.48809	2.81894
43650.24194	5.49451	2.3944
43650.242	7.44353	5.36782
43650.242	7.23284	3.7173
43650.24206	5.14142	5.77835
43650.29202	0.75224	5.91806
43650.29208	8.30392	4.26778
43650.29208	13.91877	5.42588
43650.29213	9.82388	3.20097
43650.29213	10.46518	3.66396
43650.29219	7.70774	6.32842
43650.29219	10.05687	4.60255
43650.29225	-3.3784	6.02731
43650.34103	8.8382	5.63065
43650.34109	5.4908	3.95963
43650.34109	2.48787	3.34132
43650.34115	2.96138	2.87042
43650.34115	6.2621	2.7289
43650.34121	8.9553	4.33363
43650.34127	17.63996	7.66419
43650.36669	1.24269	4.32385
43650.36675	5.79804	3.18094
43650.36675	6.53136	3.50974
43650.36681	0.69767	2.4275
43650.36681	5.28207	2.45208
43650.36687	5.97036	3.80361
43650.36693	10.52694	6.70652
43650.66763	-10.457	5.90244
43650.66769	3.13197	5.25573
43650.66769	3.70431	4.29888
43650.66775	-3.16768	5.65137
43650.74272	4.42156	5.13126
43650.74272	7.22395	6.17177
43650.74278	6.78438	5.5703
43650.74278	0.72147	5.67594
43650.86623	8.57563	7.32657
43650.86623	2.55978	5.37343
43650.86629	17.52323	9.00602
43831.0676	-1.23525	6.58018
43831.06766	-0.10625	4.51279
43831.06766	-4.37678	3.36501
43831.06772	2.9185	4.92124
43831.06772	-3.86466	3.77747
43831.06778	2.15019	7.35551
43831.23878	5.40888	7.32696
43831.23878	3.06713	5.54736
43831.26367	6.66555	5.77086
43831.26373	4.25227	3.6815
43831.26373	7.2367	4.16748
43831.26379	10.77013	3.38306
43831.26379	12.19888	3.78176
43831.26385	3.25921	4.41498
43831.26391	9.6345	8.3413
43831.33821	15.03524	8.99007
43831.46081	6.13599	4.76309
43831.46087	8.62456	3.62261
43831.46087	1.9808	2.67566
43831.46093	7.9159	4.12973
43831.46093	1.42791	3.98977
43831.46099	3.64121	6.13988
43831.8827	-1.75464	4.92317
43831.88276	9.50181	4.41391
43831.88276	7.43385	3.66251
43831.88281	6.06459	6.5866
43831.88281	1.41866	4.85303
43831.88287	-0.18922	8.03675
43832.00642	16.16222	9.00039
43832.00648	9.25755	6.49318
43832.00648	15.71815	5.8012
43832.00654	6.11936	3.52403
43832.00654	7.66345	4.26761
43832.0066	14.46919	6.07755
43832.07924	9.67467	6.25457
43832.0793	7.38496	4.41572
43832.0793	18.13407	4.71983
43832.07936	16.11984	5.51969
43832.07936	16.78373	5.94196
43832.07942	16.34339	8.02811
43832.10425	21.03684	7.20335
43832.10431	8.57081	3.77957
43832.10431	9.39403	5.93266
43832.10436	8.03286	2.85286
43832.10436	9.83408	2.70879
43832.10442	-1.74805	3.39469
43832.10442	5.94991	3.31338
43832.10448	-0.8943	4.76395
43832.15366	3.50394	4.7465
43832.15372	5.60236	3.92946
43832.15372	10.46287	3.46038
43832.15378	7.00201	2.37618
43832.15378	8.6085	2.7544
43832.15384	2.45488	4.44
43832.15384	6.89631	3.38757
43832.1539	1.47641	5.05059
43832.22749	9.81753	2.41059
43832.22749	4.23143	1.83364
43832.22755	7.70955	2.9634
43832.22755	5.66576	4.48599
43832.22761	12.88872	5.4137
43832.32514	29.08437	9.61905
43832.3252	12.57006	4.83168
43832.32526	11.40439	3.23824
43832.32526	12.00053	3.50649
43832.32532	12.07076	3.86219
43832.32532	12.44976	4.2249
43832.32538	13.72118	5.76336
43832.34985	9.30123	6.01314
43832.34991	14.29874	3.67343
43832.34997	11.71349	2.53297
43832.34997	14.20547	2.7159
43832.35003	10.85246	2.82462
43832.35003	11.80159	2.7222
43832.35009	16.85587	4.13879
43832.35015	6.37521	7.24317
43832.42416	-0.14464	6.1434
43832.42422	12.27459	3.69194
43832.42428	12.08169	2.63249
43832.42428	10.96491	2.5253
43832.42434	11.735	2.762
43832.42434	12.61498	3.04215
43832.4244	12.6596	4.0506
43832.42445	11.44316	8.8828
43832.54705	1.51993	5.19948
43832.54711	6.19946	3.04527
43832.54711	11.44859	6.59303
43832.54717	7.30578	2.14173
43832.54717	9.74655	2.44698
43832.54723	5.66952	3.0075
43832.54723	9.97873	2.83585
43832.54729	12.14548	4.48261
43832.67065	7.15006	3.51222
43832.67071	3.26389	2.58426
43832.67071	8.21896	2.33574
43832.67077	5.80741	1.64899
43832.67077	11.58938	2.12314
43832.67083	5.53642	3.49644
43832.67083	4.85168	2.25377
43832.67089	5.92207	3.82855
43832.86791	14.11046	7.36144
43833.03975	21.15718	6.01264
43833.03981	-3.07858	4.04108
43833.03981	12.04284	3.51885
43833.03987	5.64106	2.36944
43833.03987	6.81573	2.22274
43833.03992	5.97992	2.77788
43833.03992	4.80114	3.03209
43833.03998	13.26454	4.71088
43833.08976	-0.09192	3.9042
43833.50738	11.03963	4.07447
43833.62962	6.07692	4.28317
43833.62968	8.01554	2.74465
43833.62968	1.59134	2.87818
43833.62974	1.43814	1.56192
43833.62974	4.40924	2.04824
43833.6298	2.28006	2.59048
43833.6298	6.9231	4.85581
43833.62986	-0.8304	4.42353
43833.82723	9.85608	4.57848
43833.82729	9.22003	2.77319
43833.82729	-0.17946	3.09274
43833.82735	6.14503	1.86301
43833.82735	7.95626	2.14574
43833.82741	4.58894	3.63339
43833.82741	6.1559	2.58569
43833.82747	-0.09122	3.8744
43833.92559	0.83789	2.8663
43833.92565	1.02553	1.72926
43833.92565	3.76707	2.37904
43833.92571	0.88327	1.19312
43833.92571	2.96751	1.54815
43833.92577	1.77025	2.01127
43833.92577	10.12525	4.38766
43833.92583	-2.34174	3.30544
43834.04926	5.039	5.72504
43834.04931	7.32597	2.81596
43834.04937	6.53712	1.91011
43834.04937	7.10736	2.01811
43834.04943	6.77726	1.8753
43834.04943	3.51029	1.61729
43834.04949	3.09385	2.40162
43834.04955	-3.15573	4.45442
43834.07373	15.24158	5.21896
43834.07379	6.99465	3.08451
43834.07379	12.1838	3.82711
43834.07385	8.37848	2.86893
43834.07385	4.02511	2.31799
43834.0739	3.20945	3.6464
43834.07396	11.04756	7.78661
43834.19472	13.8428	5.3209
43834.19478	16.86928	3.81577
43834.19478	9.76374	3.9991
43834.19484	7.36656	2.71882
43834.19484	10.57573	2.6806
43834.1949	6.20243	3.454
43834.1949	-0.27007	4.65419
43834.19496	8.17644	5.76296
43834.26832	11.85694	6.18577
43834.26838	7.05241	3.46425
43834.26838	6.19093	4.90181
43834.26844	4.57926	2.55009
43834.26844	2.60376	2.06158
43834.26849	0.8851	3.02779
43834.26849	-5.81366	3.64039
43834.26855	5.95552	5.84414
43834.39079	-0.82625	4.40143
43834.39085	2.10531	2.85189
43834.39085	3.95313	3.61079
43834.39091	0.6523	1.8226
43834.39091	6.20945	2.60818
43834.39097	-0.28402	4.89461
43834.39097	3.78498	3.27694
43834.39103	-5.34043	4.93426
43834.58811	9.12015	5.07881
43834.58817	3.59599	3.28458
43834.58817	3.35233	2.90236
43834.58823	4.66915	2.60015
43834.58823	0.70342	1.96545
43834.58829	6.28273	3.75665
43834.58835	10.44224	7.35996
43834.71148	1.80766	6.18374
43834.71154	11.48048	5.28937
43834.71154	-0.67984	3.6215
43834.71159	3.34244	3.27992
43834.71159	0.91105	2.54558
43834.71165	1.27343	4.35622
43834.71171	-3.93669	7.42946
43834.78507	-1.16589	6.21071
43834.78513	11.10079	5.46914
43834.78513	1.70688	3.84023
43834.78519	3.32875	3.26649
43834.78519	-1.71528	2.25156
43834.78525	4.75428	4.66536
43835.00668	1.70037	5.81672
43835.00674	3.58944	3.10764
43835.0068	4.858	2.25671
43835.0068	2.35534	1.86489
43835.00686	5.44882	2.68453
43835.00686	2.33879	2.29505
43835.00692	12.98368	4.29408
43835.03121	1.93216	4.34708
43835.03127	9.54496	3.23914
43835.03127	2.27938	3.08769
43835.03133	6.09094	4.82264
43835.03133	-2.95803	3.31443
43835.03139	-4.04833	5.71435
43835.15274	-10.79824	5.65616
43835.1528	0.53926	3.95375
43835.1528	1.99734	5.58083
43835.15286	4.23999	3.29131
43835.15286	-1.66753	2.18888
43835.15292	2.99644	4.05902
43835.15292	13.33924	6.14575
43835.15298	-8.34918	5.6367
43835.22657	5.33876	5.23892
43835.22663	3.49553	3.43015
43835.22663	5.59741	3.22345
43835.22669	-1.81334	3.4222
43835.22669	14.96203	5.07746
43835.22675	6.61722	6.49346
43835.34857	-6.3274	4.94943
43835.34863	10.43279	4.18644
43835.34863	0.53364	3.45315
43835.34869	-2.41238	2.35796
43835.34869	6.44375	3.58838
43835.34875	-5.38364	4.21119
43835.42199	11.25606	3.85426
43835.42199	4.17141	2.9258
43835.42205	1.33503	4.56694
43835.5447	17.28911	5.53186
43835.54476	4.35626	3.38157
43835.54476	1.44314	2.61012
43835.54482	8.07763	4.49826
43835.54482	-5.78522	4.44786
43835.54488	-3.4928	6.59173
